ID,Subject,Bangla,Arabic,Urdu,English,Pronunciation
EM-01,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,জানুয়ারী  ,ينَايِرْ,جنوری,January ,(জানুয়ারী )
EM-02,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,ফেব্রুয়ারি,فَبْرَائِرْ,فروری,February,(ফেব্রুয়ারি)
EM-03,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,মার্চ,مَارِسُ,مارچ,March,(মার্চ)
EM-04,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,এপ্রিল,أَبْرِيْل,اپریل,April,(এপ্রিল)
EM-05,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,মে,مَايُوْ,مئی,May,(মে)
EM-06,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,জুন,يُوْنِيَةُ,جون,June,(জুন)
EM-07,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,জুলাই,يُوْلِيَةُ,جولائی,July,(জুলাই)
EM-08,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,আগস্ট,أَغَسْطَسْ,اگست,August,(আগস্ট)
EM-09,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,সেপ্টেম্বর,سِيْتَمْبَرْ,ستمبر,September,(সেপ্টম্বার)
EM-10,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,আক্টোবর,أكْتُوْبَر,اکتوبر,October,(আক্টোবর)
EM-11,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,নভেম্বর,نُوْفِيْمبَر,نوفمبر,November,(নভেম্বার)
EM-12,ইংরেজি মাসের নাম أَسْمَاءُ الشُّهُورِ الْإِنْجْلِيزِيَّةِ Months of year in English,ডিসেম্বর,دِيْسَمْبَر,دسمبر,December,(ডিসেম্বার)
AM-01,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,মুহাররম,اَلْمُحَرَّمُ,محرم,Muharram,(মুহাররম)
AM-02,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,সফর,صَفَرٌ,صفر,Safar,(সফর)
AM-03,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,রবিউল আউয়াল,اَلرَّبِيْعُ الْأَوَّلُ,ربیع الاول,Rabiul Awal,(রবিউল আউয়াল)
AM-04,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,রবিউস সানী,اَلرَّبِيْعُ الثَّانِيْ,ربیع الثانی,Rabiussani,(রবিউস সানী)
AM-05,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,জুমাদাল উলা,اَلْجَمَادِي الْأُوْلى,جمادی الاولی,Jamadiul Ula,(জমাদিউল উলা)
AM-06,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,জুমাদাস ছানী,اَلْجَمَادى الْأُخْرى,جمادی الاخری,Jamadussani,(জমাদিউস সানী)
AM-07,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,রজব,رَجَبٌ,رجب,Rajob,(রজব)
AM-08,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,শাবান,شَعْبَانُ,شعبان,Sha'ban,(শাবান)
AM-09,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,রমজান,رَمَضَانُ,رمضان,Ramadan,(রমাদান)
AM-10,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,শাওয়াল,شَوَّالٌ,شوّال,Shawwal,(সাউয়াল)
AM-11,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,জিলক্বদ,ذُو الْقَعْدَةِ,ذیقعدہ,Dhul-Qi'dah,(জিলক্বদ)
AM-12,আরবী মাসের নাম أَسْمَاءُ الشُّهُورِ الْعَرَبِيَّةِ Months of year in Arabic,যিলহজ্ব,ذِي الْحِجَّةِ,ذی الحجہ,Dhul-Hijjah,(জিলহজ্জ)
DW-01,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,শনিবার,يَوْمُ السَّبْتِ,سنیچر,Saturday,(সাটারডে)
DW-02,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,রবিবার,يَوْمُ الْأَحَدِ,اتوار,Sunday,(সানডে)
DW-03,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,সোমবার,يَوْمُ الْاِثْنَيْنِ,پیر,Monday,(মানডে)
DW-04,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,মঙ্গলবার,يَوْمُ الثُّلَاثَاءِ,منگل,Tuesday,(টুয়েসডে)
DW-05,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,বুধবার,يَوْمُ الْأَرْبِيَاءِ,بودھ,Wednesday,(ওএনজডে)
DW-06,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,বৃহস্পতিবার,يَوْمُ الْخَمِيْسِ,جمعرات,Thursday,(থার্সডে)
DW-07,সাত দিনের নাম أَيَّامُ الْأُسْبُوعِ السَّبْعَةِ Days of Week,শুক্রবার,يَوْمُ الْجُمُعَةِ,جمعہ,Friday,(ফ্রাইডে)
T-1,সময়সমূহ الْأَوْقَاتُ Time,সকাল,اَلصَّبَاحُ,صبح,Morning,(মর্নিং)
T-2,সময়সমূহ الْأَوْقَاتُ Time,সন্ধ্যা,اَلْمَسَاءُ,شام,Evening,(ইভনিং)
T-3,সময়সমূহ الْأَوْقَاتُ Time,দিন,اَلنَّهَارُ,دن,Day,(ডে)
T-4,সময়সমূহ الْأَوْقَاتُ Time,রাত,اَللَّيْلُ,رات,Night,(নাইট)
T-5,সময়সমূহ الْأَوْقَاتُ Time,পূর্বাণ্হ,اَلضُّحى,چاشت,Forenoon,(ফোরনুন)
T-6,সময়সমূহ الْأَوْقَاتُ Time,দ্বিপ্রহর,اَلظَّهِيْرًةُ,دوپہر,Noon,(নূন)
T-7,সময়সমূহ الْأَوْقَاتُ Time,এখন,اَلْآنَ,اب,Now,(নাও)
T-8,সময়সমূহ الْأَوْقَاتُ Time,ঘণ্টা,اَلسَّاعَةُ,گھنٹہ,Hour,(আওয়ার)
T-9,সময়সমূহ الْأَوْقَاتُ Time,মিনিট,دَقِيْقَةٌ,منٹ,Minute,(মিনিট)
T-10,সময়সমূহ الْأَوْقَاتُ Time,সেকেন্ট,ثَانِيَةٌ,سیکنڈ,Second,(সেকেন্ড)
T-11,সময়সমূহ الْأَوْقَاتُ Time,রাতের একাংশ,وَهَنُ اللَّيْلِ,رات کا کچھ حصہ,One part of night,(ওয়ান পার্ট অফ নাইট)
T-12,সময়সমূহ الْأَوْقَاتُ Time,মধ্যরাত,نِصْفُ اللَّيْلِ,آدھی رات,Midnight,(মিডনাইট)
T-13,সময়সমূহ الْأَوْقَاتُ Time,আজ,اَلْيَوْمُ,آج کا دن,Today,(টুডে)
T-14,সময়সমূহ الْأَوْقَاتُ Time,গতকাল,أَمْسِ,گذشتہ کل,Yesterday,(ইয়েস্টারডে)
T-15,সময়সমূহ الْأَوْقَاتُ Time,আগামী কাল,غَدًا,آئندہ کل,Tomorrow,(টুমোরো)
T-16,সময়সমূহ الْأَوْقَاتُ Time,গত পরশু,قَبْلَ الْأَمْسِ,پرسوں گذشتہ,The day before Yesterday,(দ্যা ডে বিফোর ইয়েস্টারডে)
T-17,সময়সমূহ الْأَوْقَاتُ Time,আগামী পরশু,بَعْدَ الْغَدِ,پرسوں آئندہ,The day after tomorrow,(দ্যা ডে আফটার টুমোরো)
T-18,সময়সমূহ الْأَوْقَاتُ Time,সপ্তাহ,أًسْبُوْعٌ,ہفتہ,Week ,(উয়িক)
T-19,সময়সমূহ الْأَوْقَاتُ Time,মাস,شَهْرٌ,مہینہ,Month,(মানথ্)
T-20,সময়সমূহ الْأَوْقَاتُ Time,বৎসর,سَنَةٌ,سال,Year,(ইয়ার)
ON-1,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,প্রথম,اَلْأَوَّلُ,پہلا,First,(ফাস্ট)
ON-2,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,দ্বিতীয়,اَلثَّانِيْ,دوسرا,Second ,(সেকেন্ড)
ON-3,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,তৃতীয়,اَلثَّالِثُ,تیسرا,Third ,(থার্ড)
ON-4,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,চতুর্থ,الرَّابِعُ,چوتھا,Fourth,(ফোর্থ)
ON-5,গুণবাচক সংখ্যা الْأَعْدَادُ الصِّفَاتِيَّة/اَلتَّرْتِيْبِيَّةُ Ordinal Numbers,পঞ্চম,اَلخَامِسُ,پانچواں,Fifth,(ফিফথ্)
